,Date,Time,totalizer_I_avg,totalizer_kW,pump_1_V_avg,pump_1_I_avg,pump_1_kW,pump_2_V_avg,pump_2_I_avg,pump_2_kW
0,2021-08-30,00:00:00,20.9708,3.0999610321088,400.5834,0.0,0.0,229.6788,0.0,0.0
1,2021-08-30,00:01:00,20.9939,3.1019940027880004,400.494,0.0,0.0,229.7035,0.0,0.0
2,2021-08-30,00:02:00,20.9999,3.1014984148896008,400.8966,0.0,0.0,229.925,0.0,0.0
3,2021-08-30,00:03:00,21.0313,3.1019833274327997,400.8998,0.0,0.0,229.9135,0.0,0.0
4,2021-08-30,00:04:00,21.0196,3.103024503644801,400.9295,0.0,0.0,229.8734,0.0,0.0
5,2021-08-30,00:05:00,20.9997,3.1014688766688003,401.0775,0.0,0.0,230.0394,0.0,0.0
6,2021-08-30,00:06:00,21.0305,3.1046336192840003,401.1846,0.0,0.0,230.0133,0.0,0.0
7,2021-08-30,00:07:00,21.0193,3.102980216058401,400.933,0.0,0.0,229.9125,0.0,0.0
8,2021-08-30,00:08:00,20.9994,3.1028066658480005,401.1132,0.0,0.0,230.0244,0.0,0.0
9,2021-08-30,00:09:00,21.0071,3.1025617908384007,400.9615,0.0,0.0,229.9706,0.0,0.0
10,2021-08-30,00:10:00,20.9981,3.1026145818520003,401.2198,0.0,0.0,230.0439,0.0,0.0
11,2021-08-30,00:11:00,21.0138,3.1035513212352,401.1967,0.0,0.0,230.0746,0.0,0.0
12,2021-08-30,00:12:00,21.0091,3.1042399079720004,401.2001,0.0,0.0,230.098,0.0,0.0
13,2021-08-30,00:13:00,21.0163,3.1039205489952004,401.392,0.0,0.0,230.1921,0.0,0.0
14,2021-08-30,00:14:00,21.0291,3.1044269438808003,401.4257,0.0,0.0,230.2194,0.0,0.0
15,2021-08-30,00:15:00,21.0299,3.104545044111201,401.5536,0.0,0.0,230.229,0.0002,0.0001
16,2021-08-30,00:16:00,21.0173,3.105451514716,401.467,0.0,0.0,230.2368,0.0,0.0
17,2021-08-30,00:17:00,21.0583,3.1059656561447992,400.9507,0.0,0.0,229.6571,0.0,0.0
18,2021-08-30,00:18:00,20.9767,3.1008331862512004,399.7521,0.0,0.0,229.2328,0.0,0.0
19,2021-08-30,00:19:00,20.9502,3.0969158837472,399.7277,0.0,0.0,229.3065,0.0,0.0
20,2021-08-30,00:20:00,20.9649,3.097709052108,399.9325,0.0,0.0,229.3343,0.0,0.0
21,2021-08-30,00:21:00,20.9555,3.0976993442480003,400.0853,0.0,0.0,229.4298,0.0,0.0
22,2021-08-30,00:22:00,20.9827,3.097577130517601,399.9738,0.0,0.0,229.3666,0.0,0.0
23,2021-08-30,00:23:00,20.9711,3.0986251450120004,399.9966,0.0,0.0,229.3395,0.0,0.0
24,2021-08-30,00:24:00,20.9584,3.0981280301824006,400.0342,0.0,0.0,229.4567,0.0,0.0
